load_transmission,load_people,n_person,load_light,load_fan,load_total,load_installed,Fan consumes too much energy,Insulation insufficient,Light consumes too much energy,Light is on for too long,People too long in the Room,To many people in the Room,none
0.4235055312,0.235,5,0.03404259833333333,0.06011263976666666,1.091358115485,1.8553087963245,1,1,0,1,0,1,0
0.39441735959999996,0.096,2,0.022195264,0.051788949333333334,0.8183822807533334,0.9002205088286668,0,0,0,0,0,0,1
0.9854336054,0.105,3,0.02352406291666667,0.07809988888333334,1.7284834579400001,3.284118570086,0,1,0,0,0,0,0
0.6766361623999999,0.129,3,0.046552596296296295,0.1288316037037037,1.4224795254799998,1.5647274780279998,0,0,0,0,0,0,1
0.4867470387999999,0.047,1,0.030870216222222226,0.08137914446666668,0.9366947792588889,1.0303642571847778,0,0,0,0,0,0,1
0.6798446468,0.38,5,0.1245452225462963,0.13190963570555556,1.908634282325185,2.4812245670227404,0,0,0,1,1,1,0
0.4567680787999999,0.045,1,0.026746591666666673,0.06989775955555558,0.8676980235322221,0.9544678258854444,0,0,0,0,0,0,1
0.6111358131999999,0.033,1,0.02993403508333333,0.10286422965000001,1.1265544130033331,1.2392098543036665,0,0,0,0,0,0,1
0.801787764,0.26,4,0.07646140444444444,0.07210176296296295,1.7550088505407409,2.632513275811111,0,1,1,1,1,1,0
0.6614411327999998,0.088,2,0.055622864,0.0734971776,1.2739137028799996,2.165653294895999,0,1,0,1,0,0,0
0.5469523311999999,0.08199999999999999,2,0.03249350222222222,0.0887627377777778,1.0878024282399998,1.196582671064,0,0,0,0,0,0,1
0.5335284284000001,0.201,3,0.03435635000000001,0.048385192916666674,1.1850414584091669,2.0145704792955836,0,1,0,1,1,0,0
0.3335720256,0.084,1,0.03622464,0.0445753728,0.72263945568,1.44527891136,0,0,0,1,1,0,0
0.39322095999999995,0.178,2,0.02349089678222223,0.065937901568,0.9579421496078222,1.5327074393725155,1,0,1,0,1,0,0
0.6456318483999999,0.12,2,0.08784652216666664,0.13304225999652775,1.4304549143166316,1.716545897179958,1,0,1,1,1,0,0
0.9147278490000001,0.03,1,0.038946903,0.0793970198,1.5414540691100003,2.0038902898430004,0,1,0,1,0,0,0
0.6718781899999999,0.252,6,0.042338479166666665,0.07145343333333333,1.504621648625,2.4073946378,0,1,0,1,0,1,0
0.48647207839999995,0.144,3,0.031936639999999995,0.08010773866666665,1.0766488627466666,1.1843137490213334,0,0,0,0,0,0,1
